Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
act1_0f158e72	il	Thank you for your kind words, but they are far too gracious to be wasted on me... I have not done anything to be deserving of such praise.	game/scripts/acts/act1.rpy	546	il "[what]"
act1_be684527	sa	I thought you might be able to join us for tonight's feast for All Hallows' Eve, and to perhaps lead us in prayer.	game/scripts/acts/act1.rpy	550	sa "[what]"
act1_d6a91bf6	ul	It’s not every day that you see a nun, and much less in such unlikely company. So, would you accept our invitation?	game/scripts/acts/act1.rpy	555	ul "[what]"
act1_c6787679		Ilona considers this carefully. She and Edwin had drawn too much attention already. So it surprises her when Edwin speaks without any fear.	game/scripts/acts/act1.rpy	559	"[what]"
act1_4119ed7e	ed	We will gladly accept.	game/scripts/acts/act1.rpy	564	ed "[what]"
act1_ff47b2be	sa	Tonight's banquet will begin shortly, but you should still have time to prepare for it. Anari, let us debrief in the meantime.	game/scripts/acts/act1.rpy	569	sa "[what]"
act1_c91bfff5		It had only been a few days since they were on the run… Ilona could scarcely believe that they were welcomed so readily.	game/scripts/acts/act1.rpy	580	"[what]"
act1_76717860		They sit at a table laden with food: a rich coloured beetroot soup, mulled wine with spices, pickled vegetables, a glistening whole roasted pheasant and even more dishes than one could name.	game/scripts/acts/act1.rpy	582	"[what]"
act1_fe97bc40		Seated at the table were two new faces: Fleur, the daughter of Uldin. On Fleur's left side was Eisleigh, an assistant to the house.	game/scripts/acts/act1.rpy	591	"[what]"
act1_284ded2f		Uldin plans to rebuild the ruined chapel in Belorov, as Salome is deeply pious. This is why Salome regards the meeting with Ilona as such good fortune.	game/scripts/acts/act1.rpy	602	"[what]"
act1_764c3b9f		As everyone gathers at the table, Uldin urges Ilona to lead them in prayer before the meal.	game/scripts/acts/act1.rpy	628	"[what]"
act1_5e3d1d21		She speaks a few words of gratitude for the harvest and for peace and protection. When she lifts her eyes once again, the lively banquet commences.	game/scripts/acts/act1.rpy	643	"[what]"
act1_50f8cc7d	ke	The food smells amazing. Was that the pheasant you caught today, Anari?	game/scripts/acts/act1.rpy	659	ke "[what]"
act1_964c7e5c	an	The very one. Ahh, a successful hunt and high quality spices can put even someone like me in a good mood.	game/scripts/acts/act1.rpy	663	an "[what]"
act1_1f1f5896	ke	You should always be in a good mood, then!	game/scripts/acts/act1.rpy	668	ke "[what]"
act1_71f306ca	an	Heheheh. Fleur, would you like some spiced pheasant?	game/scripts/acts/act1.rpy	675	an "[what]"
act1_853e9921	fl	Oh no, thank you, Aunt Anari. You always make it way too spicy… 	game/scripts/acts/act1.rpy	679	fl "[what]"
act1_6cf0d10b	an	That's too bad… I guess you really don't take after Uldin when it comes to food.	game/scripts/acts/act1.rpy	684	an "[what]"
act1_25f9e941	sa	So, what brings you to Belorov, Mister Edwin and Sister Ilona?	game/scripts/acts/act1.rpy	697	sa "[what]"
act1_35b3a49e	sa	Our town may not look like much after our chapel was ransacked and destroyed, but it was once breathtaking.	game/scripts/acts/act1.rpy	701	sa "[what]"
act1_581943e6	il	We're… on a pilgrimage. We were just seeking shelter before dark.	game/scripts/acts/act1.rpy	705	il "[what]"
act1_39597b73	il	I heard about the destruction of a chapel some time ago, but I had no idea it was here.	game/scripts/acts/act1.rpy	709	il "[what]"
act1_c760f5b4	sa	Yes, it was the barbarians' doing. Even now, we're still rebuilding the town, but the faithful have moved on from here.	game/scripts/acts/act1.rpy	713	sa "[what]"
act1_17a8c2ae	sa	I miss having someone to share my connection with God, so I am sorry to impose my sudden invitation on you.	game/scripts/acts/act1.rpy	715	sa "[what]"
act1_cc8bc172	sa	Belorov is home to people of many faiths. Many of us have travelled from afar, like myself.	game/scripts/acts/act1.rpy	719	sa "[what]"
act1_170ca600	il	From what I understand, Edwin was also quite the traveller before we met.	game/scripts/acts/act1.rpy	724	il "[what]"
act1_13488422	fl	Do you have any stories, Edwin? I'd love to hear them.	game/scripts/acts/act1.rpy	729	fl "[what]"
act1_3d28723a	ed	Haha. To tell you everything that happened would tax my wits.	game/scripts/acts/act1.rpy	733	ed "[what]"
act1_f95c2761	fl	Have you met any mythical creatures in your journeys? Ever met the fair folk?? I've always dreamed of finding one!!	game/scripts/acts/act1.rpy	738	fl "[what]"
act1_ca698d9a	ed	Let me think. There was this one time I had an encounter with a giant… 	game/scripts/acts/act1.rpy	742	ed "[what]"
act1_bb33c4d9		Edwin regales the table with his tale of encountering a giant when he was atop a mountain. Fleur and Salome listen with rapturous attention.	game/scripts/acts/act1.rpy	746	"[what]"
act1_0425f1e3		Even Kellac takes an interest in these tales and starts telling of his own travels. He loses track of time and he decides that it is getting late and he needs to head in early.	game/scripts/acts/act1.rpy	753	"[what]"
act1_6c871926		Anari leaves to get some rest for her shift as the town guard. Both of them bid everyone at the table a good night.	game/scripts/acts/act1.rpy	758	"[what]"
act1_00cec763		Even though the party thins out a little, Fleur seems as excitable as when she began. Even Eisleigh, who kept to herself as she ate, joins in on the conversation.	game/scripts/acts/act1.rpy	778	"[what]"
act1_25dd3d4a	ei	You've really travelled a long way if you came from across the sea, Edwin.	game/scripts/acts/act1.rpy	783	ei "[what]"
act1_5bdd70a9	fl	Now I'm wondering, how did you meet Sister Ilona?	game/scripts/acts/act1.rpy	787	fl "[what]"
act1_e9d80bdc	ed	Oh uh… Heh heh. That's a story for another time. I'm pretty tired…	game/scripts/acts/act1.rpy	792	ed "[what]"
act1_1b4b8e1d	fl	Oh, could it be…? Is the story of how you met Ilona not suitable for my ears?	game/scripts/acts/act1.rpy	796	fl "[what]"
act1_2c3eeb68	ei	Ahaha, is that it? You might be onto something, Fleur.	game/scripts/acts/act1.rpy	802	ei "[what]"
act1_e72bef98	il	…	game/scripts/acts/act1.rpy	810	il "[what]"
act1_da22bced	extend	(Girls these days are sharp.)	game/scripts/acts/act1.rpy	811	extend "[what]"
act1_3bbbf098	ed	No no no, that's not it at all! It's… not that interesting compared to my other stories.	game/scripts/acts/act1.rpy	816	ed "[what]"
act1_c8637b7a	fl	Hmph, I was under the impression you two shared a forbidden romance. Perhaps the strange forces that wander tonight will tip the scales at last!	game/scripts/acts/act1.rpy	821	fl "[what]"
act1_a4709631	sa	Fleur, you shouldn't tease guests. And you really shouldn't encourage her, Eisleigh!	game/scripts/acts/act1.rpy	825	sa "[what]"
act1_726f2495	fl	Mother, it's All Hallow's Eve! Tricks and pranks are part of the fun. I'm merely teaching Sister Ilona about this part of the festival — She shouldn't be so serious and uptight all the time!	game/scripts/acts/act1.rpy	831	fl "[what]"
act1_9d8fd50c	ul	Well, they said they were on a pilgrimage. If their sins are meant to be forgiven in the end, they should be able to sin along the way all they want!	game/scripts/acts/act1.rpy	836	ul "[what]"
act1_4e05bc5f_1	il	...	game/scripts/acts/act1.rpy	839	il "[what]"
act1_00761887	ed	Grk...	game/scripts/acts/act1.rpy	842	ed "[what]"
act1_dac2d694	sa	Not you too, dear… You must have had too much to drink.	game/scripts/acts/act1.rpy	845	sa "[what]"
act1_2e4196ac		Salome gives one stern glance to both Fleur and Uldin, and their boisterous laughs subside. Uldin still seems pleased with his comment. When he recalls the looks on Ilona and Edwin's faces, he tries to not burst out laughing again.	game/scripts/acts/act1.rpy	849	"[what]"
act1_aef10f2d	fl	I apologize, Mother. And I apologize to you as well, Edwin and Sister Ilona, for insinuating something I should not have. 	game/scripts/acts/act1.rpy	855	fl "[what]"
act1_f2bf081a		Ilona and Edwin sheepishly mumble their acceptance of Fleur's apology. There is still too much attention on them…	game/scripts/acts/act1.rpy	860	"[what]"
act1_4c5198c2		Salome asks everyone their preferences for tea so she can make preparations, and she excuses herself.	game/scripts/acts/act1.rpy	864	"[what]"
act1_50a96970		A brief moment later, Fleur rises from her seat. She helps Salome to prepare the tea, truly apologetic about her earlier behaviour.	game/scripts/acts/act1.rpy	868	"[what]"
act1_970003b2	ul	We've arranged separate sleeping quarters for the both of you. Please, don't take our jests seriously.	game/scripts/acts/act1.rpy	871	ul "[what]"
act1_39f00d4d	ed	You've been most gracious to offer us both this feast and shelter for the night. Thank you again for your hospitality.	game/scripts/acts/act1.rpy	874	ed "[what]"
act1_75fb1100	ul	Oh no need, but if you must insist: you’re welcome.	game/scripts/acts/act1.rpy	876	ul "[what]"
act1_76a147d2	ul	Please, I know this is all too much for you and Sister Ilona. You’ve met quite a few people already, and it's getting late. If you need to retire for the evening, you are welcome to.	game/scripts/acts/act1.rpy	879	ul "[what]"
act1_2a9de0bc		Salome and Fleur have the tea ready and Eisleigh helps serve it to the guests and places servings of milk and sugar at each end of the table.	game/scripts/acts/act1.rpy	885	"[what]"
act1_c5503559		Uldin remarks that this is one of his favourite teas — indeed, the pleasant aroma of black tea is refreshing, and any awkwardness from the conversation before is soon forgotten.	game/scripts/acts/act1.rpy	893	"[what]"
act1_ac6818b8	ul	Though, I must admit I remain curious as to how you two met each other. Are you religious, Edwin?	game/scripts/acts/act1.rpy	901	ul "[what]"
act1_8b731507	ed	As much as any other man. Our meeting, well… Ilona pulled me out of a dark place. We bonded over the stories and poems she was recording.	game/scripts/acts/act1.rpy	904	ed "[what]"
act1_fadecde8	ed	I did not want to let her travel alone, so I decided to act as her guard on this journey.	game/scripts/acts/act1.rpy	906	ed "[what]"
act1_684ab772	ul	I see. Having a companion to talk about the same texts… That's not so different from me and Eisleigh.	game/scripts/acts/act1.rpy	909	ul "[what]"
act1_95504459	ei	Well… magical texts; books about curses and spells, rather than stories and poems.	game/scripts/acts/act1.rpy	916	ei "[what]"
act1_9f5a5c6b	il	Oh, that's unusual. Both of you practice magic?	game/scripts/acts/act1.rpy	919	il "[what]"
act1_0297d750	ul	It's a useful resource, but difficult to master. You did say the two of you are on a pilgrimage… so you might not be aware of recent events.	game/scripts/acts/act1.rpy	922	ul "[what]"
act1_599a9c9c	ei	There have been sightings of a werewolf in another town.	game/scripts/acts/act1.rpy	925	ei "[what]"
act1_22be3386	ul	Those foul beasts… A werewolf truly must be cursed to succumb to their bloodlust.	game/scripts/acts/act1.rpy	932	ul "[what]"
act1_8fe8aaa5		An oppressive silence lingers and sweat beads down Edwin’s forehead. Ilona tries to keep a straight face, but her brow twitches.	game/scripts/acts/act1.rpy	937	"[what]"
act1_5a324240		Edwin adds more sugar to his tea, and he takes care to not rattle the crockery as he stirs it with the spoon.	game/scripts/acts/act1.rpy	940	"[what]"
act1_64e5228d	ul	Please pay no heed to my language, it- It’s just...	game/scripts/acts/act1.rpy	943	ul "[what]"
act1_f701c3cb	ul	Belorov was once an old fortress, so we don't have to worry about monster attacks. But in my youth, I experienced an attack first hand...	game/scripts/acts/act1.rpy	948	ul "[what]"
act1_b77ee44a		Uldin details a dramatic hunting trip in his youth, with his older brother and subordinate.	game/scripts/acts/act1.rpy	950	"[what]"
act1_bb58735a		A werewolf attacked the tent in the dead of night, but Uldin fended it off with fire magic.	game/scripts/acts/act1.rpy	952	"[what]"
act1_e839834e		His subordinate was torn to pieces, and Uldin's brother had his legs nearly hewn off.	game/scripts/acts/act1.rpy	954	"[what]"
act1_a6a1838c	ul	If it were not for my study of magic, who could say what might have happened?	game/scripts/acts/act1.rpy	956	ul "[what]"
act1_161c342c_1	ed	...	game/scripts/acts/act1.rpy	958	ed "[what]"
act1_ebc8756d	fl	Edwin, are you okay? You look awfully pale.	game/scripts/acts/act1.rpy	977	fl "[what]"
act1_9035e5df	ul	I apologise, I might have gone too far...	game/scripts/acts/act1.rpy	980	ul "[what]"
act1_ee1c8bd1	il	...Do you need any assistance?	game/scripts/acts/act1.rpy	989	il "[what]"
act1_31f7c0b3	ed	No, thank you, Ilona. And yes; Fleur, I think I may need to rest for the day. Please excuse me, my mind’s been all over the place.	game/scripts/acts/act1.rpy	993	ed "[what]"
act1_dc41d814	ed	I should be back in full spirits by tomorrow.	game/scripts/acts/act1.rpy	996	ed "[what]"
act1_f5d239fc	ul	Very well. Eisleigh, if you may, show him to his room, please.	game/scripts/acts/act1.rpy	999	ul "[what]"
act1_c72884ac	ei	Of course.	game/scripts/acts/act1.rpy	1004	ei "[what]"
act1_6312ec28		Eisleigh unlocks the door by the stairs and opens the guest room. She gives Edwin the key.	game/scripts/acts/act1.rpy	1016	"[what]"
act1_1dfe5824		Having separate sleeping quarters is more than Edwin could normally ask for. In this style of house, he had assumed that the guests share one large sleeping space.	game/scripts/acts/act1.rpy	1025	"[what]"
act1_0a1e32c5		He was prepared to run out of the manse, and to be alone in the darkness of night.	game/scripts/acts/act1.rpy	1029	"[what]"
act1_3a2758dd		Instead, he has to play the role of an honoured houseguest.	game/scripts/acts/act1.rpy	1031	"[what]"
act1_1862dca1		Eisleigh bows and leaves him with only a few words of comfort, hoping that he will feel better with rest.	game/scripts/acts/act1.rpy	1035	"[what]"
act1_67b29e38		He nods and then closes the door, locking it with the key.	game/scripts/acts/act1.rpy	1037	"[what]"
act1_1cfb8201		The unexpected privacy given to him helps ease his mind and, feeling his skin cool, he wipes the cold sweat from his brow.	game/scripts/acts/act1.rpy	1044	"[what]"
act1_30c3ae9d		The chatter of the party is distant, and he has to strain his ears to listen.	game/scripts/acts/act1.rpy	1046	"[what]"
act1_cb06b165		Now, he is alone.	game/scripts/acts/act1.rpy	1048	"[what]"
act1_8f2f47d4		Edwin's towering frame lowers to the ground, and the floorboards creak slightly with his movement.	game/scripts/acts/act1.rpy	1053	"[what]"
act1_ddf91ad5		He kneels down by the bed, as though praying. It's as if he only now remembers how to breathe…	game/scripts/acts/act1.rpy	1055	"[what]"
act1_5feb9690	ed	Lord, please have mercy on my soul…	game/scripts/acts/act1.rpy	1061	ed "[what]"
act1_fc2effcc	ed	I want to believe that I am human, but the people won't accept me all the same. Am I allowed to surrender at last?	game/scripts/acts/act1.rpy	1063	ed "[what]"
act1_4cc6a018	ed	If I were to end it… right here and right now. Wouldn’t that be spectacular?	game/scripts/acts/act1.rpy	1065	ed "[what]"
act1_0a86a1ca	ed	Hah. Hahah.	game/scripts/acts/act1.rpy	1067	ed "[what]"
act1_b299bbab	extend	 Ahahahahahahahahahahahahahhahah!	game/scripts/acts/act1.rpy	1073	extend "[what]"
act1_337064cf	ed	Look at me, a husk of myself. Not even courage remains.	game/scripts/acts/act1.rpy	1075	ed "[what]"
act1_e638b4b9	ed	Pathetic. I should be better than this. Stronger than this.	game/scripts/acts/act1.rpy	1078	ed "[what]"
act1_318c5d51	ed	What was the point of going through the trials of the military, otherwise?	game/scripts/acts/act1.rpy	1081	ed "[what]"
act1_ccb1a6e4	ed	I’ve been through worse.	game/scripts/acts/act1.rpy	1083	ed "[what]"
act1_425fa383	ed	That day… I was brave, wasn’t I? I did save my sister from the werewolf attack, didn’t I?	game/scripts/acts/act1.rpy	1087	ed "[what]"
act1_7beb575c	ed	(But did I really do it for her? Or did my thirst for blood take over…)	game/scripts/acts/act1.rpy	1091	ed "[what]"
act1_8bf1a880	ed	(A whiff of blood, and I’m running towards it…)	game/scripts/acts/act1.rpy	1095	ed "[what]"
act1_f83d76ff	ed	(And he won't leave me alone since then. The Lord of the Forest, he calls himself.)	game/scripts/acts/act1.rpy	1097	ed "[what]"
act1_31ed355f	ed	(Penetrating my dreams ever since that day…)	game/scripts/acts/act1.rpy	1099	ed "[what]"
act1_734e7a64	ed	(And granting me the curse of the Wolfskin.)	game/scripts/acts/act1.rpy	1101	ed "[what]"
act1_92e7746a		The Wolfskin; a sash of wolf pelt that sits on his waist with intricate designs, foreign to this land. Or to any land, for that matter.	game/scripts/acts/act1.rpy	1103	"[what]"
act1_44a928d1		The gold glistens, and the red… Well, the red reflects the sheen of madness that rests within.	game/scripts/acts/act1.rpy	1105	"[what]"
act1_95570d32	ed	(Only the insane ones are bestowed with this torment. Like I…)	game/scripts/acts/act1.rpy	1107	ed "[what]"
act1_a55c6f7c	ed	...What am I doing?	game/scripts/acts/act1.rpy	1116	ed "[what]"
